Coat ofarms,Code,Canton of,Since,Capital,Population[Note 3],GDP per capita (2014)[12]in CHF,Area (km2),"Density
(per km2)[Note 4]",No. munic.,Official languages
 ,ZH,Zürich,1351,Zürich,"1,487,969[13]",96411,1729,701,168,German
 ,BE,Bern,1353,Bern,"1,026,513[14]",76307,5960,158,352,"German, French"
 ,LU,Luzern,1332,Lucerne,"403,397[15]",65119,1494,233,83,German
 ,UR,Uri,1291[Note 5],Altdorf,"36,145[16]",51332,1077,33,20,German
 ,SZ,Schwyz,1291[Note 5],Schwyz,"155,863[17]",58788,908,143,30,German
 ,OW,Obwalden,1291[Note 5] or 1315 (as part of Unterwalden),Sarnen,"37,378[18]",64253,491,66,7,German
 ,NW,Nidwalden,1291[Note 5] (as Unterwalden),Stans,"42,556[19]",69559,276,138,11,German
 ,GL,Glarus,1352,Glarus,"40,147[20]",67379,685,51,3,German
 ,ZG,Zug,1352,Zug,"123,948[21]",150613,239,416,11,German
 ,FR,Fribourg,1481,Fribourg,"311,914[22]",58369,1671,141,150,"French, German"
 ,SO,Solothurn,1481,Solothurn,"269,441[23]",65588,790,308,109,German
 ,BS,Basel-Stadt,1501 (as Basel until 1833/1999),Basel,"198,249[24]",163632,37,5072,3,German
 ,BL,Basel-Landschaft,1501 (as Basel until 1833/1999),Liestal,"286,848[25]",68537,518,502,86,German
 ,SH,Schaffhausen,1501,Schaffhausen,"80,769[26]",85529,298,246,26,German
 ,AR,Appenzell Ausserrhoden,1513 (as Appenzell until 1597/1999),Herisau[Note 6],"54,954[27]",56663,243,220,20,German
 ,AI,Appenzell Innerrhoden,1513 (as Appenzell until 1597/1999),Appenzell,"16,003[28]",61067,172,87,6,German
 ,SG,St. Gallen,1803[Note 7],St. Gallen,"502,552[29]",72624,2031,222,77,German
 ,GR,Grisons,1803[Note 8],Chur,"197,550[30]",70968,7105,26,114,"German, Romansh, Italian"
 ,AG,Aargau,1803,Aarau,"663,462[31]",61959,1404,388,213,German
 ,TG,Thurgau,1803[Note 9],Frauenfeld[Note 10],"270,709[32]",60533,992,229,80,German
 ,TI,Ticino,1803[Note 11],Bellinzona,"354,375[33]",82438,2812,110,130,Italian
 ,VD,Vaud,1803[Note 12],Lausanne,"784,822[34]",68084,3212,188,318,French
 ,VS,Valais,1815[Note 13],Sion,"339,176[35]",52532,5224,53,134,"French, German"
 ,NE,Neuchâtel,1815/1857[Note 14],Neuchâtel,"178,567[36]",83835,802,206,36,French
 ,GE,Geneva,1815,Geneva,"489,524[37]",102113,282,1442,45,French
 ,JU,Jura,1979[Note 15],Delémont,"73,122[38]",64606,839,82,57,French
 ,CH,Switzerland,,Bern,"8,419,550[39]",78619,41291,174,2289,"German, French, Italian, Romansh"
