Code,Longitude,Latitude
ZH,8.635645199999999,47.359536
BE,7.708070099999999,46.7988621
LU,10.3686811,46.6236316
UR,8.602515300000002,46.7738629
SZ,8.790364799999999,47.0723828
OW,8.251249,46.877858
NW,8.3849982,46.9267016
GL,9.0672085,47.0404265
ZG,8.5477715,47.1497017
FR,7.1172635,46.6816748
SO,8.227511999999999,46.818188
BS,7.592767999999999,47.5619253
BL,7.7644002,47.44181220000001
SH,8.568004,47.7009364
AR,9.3000916,47.366481
AI,9.4316573,47.3161925
SG,9.3504332,47.1456254
GR,9.578025700000001,46.65698709999999
AG,8.2554295,47.3876664
TG,9.0557371,47.60378559999999
TI,8.800452900000002,46.331734
VD,6.536765,46.5613135
VS,7.5449226,46.1904614
NE,6.771554999999999,46.9751954
GE,8.304880899999999,47.4793561
JU,7.143060800000001,47.3444474
CH,8.227511999999999,46.818188
